geo,code,year,median
Albania,ALB,1996,6.9721026
Albania,ALB,2002,6.6881413
Albania,ALB,2005,7.7997913
Albania,ALB,2008,8.4002
Albania,ALB,2012,8.240385
Albania,ALB,2014,8.295376
Albania,ALB,2015,10.043126
Albania,ALB,2016,10.274922
Albania,ALB,2017,10.187669
Albania,ALB,2018,11.6399765
Albania,ALB,2019,11.611524
Albania,ALB,2020,12.064707
Austria,AUT,1994,44.72875
Austria,AUT,1995,44.657364
Austria,AUT,1996,42.95575
Austria,AUT,1997,43.246304
Austria,AUT,1998,43.76893
Austria,AUT,1999,46.104816
Austria,AUT,2000,44.952507
Austria,AUT,2003,47.833397
Austria,AUT,2004,50.183907
Austria,AUT,2005,48.654762
Austria,AUT,2006,48.87515
Austria,AUT,2007,51.080627
Austria,AUT,2008,52.83893
Austria,AUT,2009,53.982433
Austria,AUT,2010,54.96537
Austria,AUT,2011,53.49292
Austria,AUT,2012,52.69723
Austria,AUT,2013,54.359097
Austria,AUT,2014,54.46112
Austria,AUT,2015,54.984207
Austria,AUT,2016,56.993645
Austria,AUT,2017,57.028057
Austria,AUT,2018,56.41074
Austria,AUT,2019,57.64287
Austria,AUT,2020,59.103535
Austria,AUT,2021,58.25852
Belgium,BEL,1985,30.986668
Belgium,BEL,1988,32.627075
Belgium,BEL,1992,35.408348
Belgium,BEL,1995,40.99495
Belgium,BEL,1997,40.669365
Belgium,BEL,2000,44.315655
Belgium,BEL,2003,43.70565
Belgium,BEL,2004,45.123596
Belgium,BEL,2005,45.8229
Belgium,BEL,2006,45.90988
Belgium,BEL,2007,46.368534
Belgium,BEL,2008,47.268734
Belgium,BEL,2009,47.95934
Belgium,BEL,2010,48.20654
Belgium,BEL,2011,47.534985
Belgium,BEL,2012,48.920853
Belgium,BEL,2013,48.95173
Belgium,BEL,2014,49.06411
Belgium,BEL,2015,50.48832
Belgium,BEL,2016,49.966892
Belgium,BEL,2017,50.10646
Belgium,BEL,2018,51.246574
Belgium,BEL,2019,52.628468
Belgium,BEL,2020,53.04003
Belgium,BEL,2021,54.49564
Bosnia and Herzegovina,BIH,2001,11.426371
Bosnia and Herzegovina,BIH,2004,16.501049
Bosnia and Herzegovina,BIH,2007,18.299322
Bosnia and Herzegovina,BIH,2011,17.60119
Bulgaria,BGR,1992,18.320246
Bulgaria,BGR,2006,9.502101
Bulgaria,BGR,2007,12.863037
Bulgaria,BGR,2008,14.656129
Bulgaria,BGR,2009,15.459045
Bulgaria,BGR,2010,14.574066
Bulgaria,BGR,2011,13.78208
Bulgaria,BGR,2012,14.050603
Bulgaria,BGR,2013,15.684114
Bulgaria,BGR,2014,16.27757
Bulgaria,BGR,2015,15.466485
Bulgaria,BGR,2016,17.697788
Bulgaria,BGR,2017,17.449934
Bulgaria,BGR,2018,19.6149
Bulgaria,BGR,2019,20.862291
Bulgaria,BGR,2020,22.822475
Bulgaria,BGR,2021,23.402508
Croatia,HRV,1988,21.716932
Croatia,HRV,2009,21.05368
Croatia,HRV,2010,19.43167
Croatia,HRV,2011,18.969696
Croatia,HRV,2012,17.751776
Croatia,HRV,2013,17.849712
Croatia,HRV,2014,18.790659
Croatia,HRV,2015,20.075865
Croatia,HRV,2016,21.651611
Croatia,HRV,2017,22.925236
Croatia,HRV,2018,24.305866
Croatia,HRV,2019,26.120905
Croatia,HRV,2020,26.997786
Croatia,HRV,2021,28.754229
Cyprus,CYP,2004,38.08545
Cyprus,CYP,2005,40.335056
Cyprus,CYP,2006,43.80927
Cyprus,CYP,2007,44.050514
Cyprus,CYP,2008,43.41868
Cyprus,CYP,2009,42.41863
Cyprus,CYP,2010,43.2975
Cyprus,CYP,2011,42.249027
Cyprus,CYP,2012,39.07879
Cyprus,CYP,2013,35.86818
Cyprus,CYP,2014,34.830708
Cyprus,CYP,2015,36.2929
Cyprus,CYP,2016,37.757587
Cyprus,CYP,2017,39.636055
Cyprus,CYP,2018,41.382294
Cyprus,CYP,2019,43.203327
Cyprus,CYP,2020,43.550587
Cyprus,CYP,2021,45.669167
Czechia,CZE,1992,16.963173
