geo,year,OBS_VALUE
Albania,2017,23.7
Albania,2018,23.4
Albania,2019,23.0
Albania,2020,21.8
Albania,2021,22.0
Austria,2012,14.4
Austria,2013,14.4
Austria,2014,14.1
Austria,2015,13.9
Austria,2016,14.1
Austria,2017,14.4
Austria,2018,14.3
Austria,2019,13.3
Austria,2020,13.9
Austria,2021,14.7
Austria,2022,14.8
Austria,2023,14.9
Belgium,2012,15.3
Belgium,2013,15.1
Belgium,2014,15.5
Belgium,2015,14.9
Belgium,2016,15.5
Belgium,2017,15.9
Belgium,2018,16.4
Belgium,2019,14.8
Belgium,2020,14.1
Belgium,2021,12.7
Belgium,2022,13.2
Belgium,2023,12.3
Bulgaria,2012,21.2
Bulgaria,2013,21.0
Bulgaria,2014,21.8
Bulgaria,2015,22.0
Bulgaria,2016,22.9
Bulgaria,2017,23.4
Bulgaria,2018,22.0
Bulgaria,2019,22.6
Bulgaria,2020,23.8
Bulgaria,2021,22.1
Bulgaria,2022,22.9
Bulgaria,2023,20.6
Switzerland,2012,15.9
Switzerland,2013,14.5
Switzerland,2014,13.8
Switzerland,2015,15.6
Switzerland,2016,14.7
Switzerland,2017,15.5
Switzerland,2018,14.6
Switzerland,2019,16.0
Switzerland,2020,15.5
Switzerland,2021,14.7
Switzerland,2022,15.8
Switzerland,2023,16.5
Cyprus,2012,14.7
Cyprus,2013,15.3
Cyprus,2014,14.4
Cyprus,2015,16.2
Cyprus,2016,16.1
Cyprus,2017,15.7
Cyprus,2018,15.4
Cyprus,2019,14.7
Cyprus,2020,14.3
Cyprus,2021,13.8
Cyprus,2022,13.9
Cyprus,2023,13.9
Czechia,2012,9.6
Czechia,2013,8.6
Czechia,2014,9.7
Czechia,2015,9.7
Czechia,2016,9.7
Czechia,2017,9.1
Czechia,2018,9.6
Czechia,2019,10.1
Czechia,2020,9.5
Czechia,2021,8.6
Czechia,2022,10.2
Czechia,2023,9.8
Germany,2012,16.1
Germany,2013,16.1
Germany,2014,16.7
Germany,2015,16.7
Germany,2016,16.5
Germany,2017,16.1
Germany,2018,16.0
Germany,2019,14.8
Germany,2020,16.1
Germany,2021,16.0
